,user_screen_name,user_id,user_is_verified,retweeted_from_screen_name,retweeted_from_id,retweeted_from_is_verified,screen_name_mention_1,id_mention_1,in_reply_to_screen_name,in_reply_to_user_id,created_at,id,text,retweet_count,favorite_count,user_followers,user_following
0,wrongdiciembre_,1127576753461977089,False,ManiaVioletta,922034346,False,ManiaVioletta,922034346,0,0,2020-11-07 23:57:53,1325225995738238977,"RT @ManiaVioletta: 🇧🇷 Aqui também vai ao ar o programa do #DisneyPlus que contará com participação da TINI.

Os canais que vão transmitir s…",18,0,1389,1705
1,foryou_tini,1208414762113097728,False,ManiaVioletta,922034346,False,ManiaVioletta,922034346,0,0,2020-11-07 23:54:09,1325225054699925505,"RT @ManiaVioletta: 🇧🇷 Aqui também vai ao ar o programa do #DisneyPlus que contará com participação da TINI.

Os canais que vão transmitir s…",18,0,322,529
2,JorgeBlancoBR,913168723,False,ManiaVioletta,922034346,False,ManiaVioletta,922034346,0,0,2020-11-07 23:47:00,1325223256626958340,"RT @ManiaVioletta: Jorge Blanco irá voltar atuar em uma série exclusiva para o #DisneyPlus. 

😱🚨💖💋 https://t.co/88Jd0g8YRP",15,0,20681,341
3,falconsoIdier,1181979923877154818,False,AAssembleBR,1073607966954307585,False,AAssembleBR,1073607966954307585,0,0,2020-11-07 23:41:46,1325221940689309696,"RT @AAssembleBR: 📸 ""Quem assumirá o escudo do Capitão América?"" 

Vídeo em inglês de Anthony Mackie e Sebastian Stan convidando a América L…",11,0,4244,4321
4,nicolevbem,1281593808,False,,0,,,0,0,0,2020-11-07 23:39:45,1325221432930996224,Fiz a subscrição do DisneyPlus. Meu Deus que dinheiro tao bem gasto 😍🤩,0,0,277,156
5,gloriaaraujogm,1268217296981557250,False,ManiaVioletta,922034346,False,ManiaVioletta,922034346,0,0,2020-11-07 23:28:31,1325218607161290752,"RT @ManiaVioletta: 🇧🇷 Aqui também vai ao ar o programa do #DisneyPlus que contará com participação da TINI.

Os canais que vão transmitir s…",18,0,421,526
6,Vanesbastos28,1276144506413428736,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-07 23:25:01,1325217724990156800,RT @DisneyPlusBR: A Saga Skywalker está completa. Todos os 9 filmes em um só lugar. Disponíveis em 17 de novembro. Só no #DisneyPlus. https…,80,0,157,180
7,AndreaE62171071,1300075686015762432,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-07 23:24:55,1325217697521668098,RT @DisneyPlusBR: A Saga Skywalker está completa. Todos os 9 filmes em um só lugar. Disponíveis em 17 de novembro. Só no #DisneyPlus. https…,80,0,51,1586
8,disneybrasil,41924663,False,,0,,,0,0,0,2020-11-07 23:21:17,1325216783389831169,"#DisneyPlus: Pra terminar as novidades por hoje, os curtas da Disney: TICK TOCK TALE, CABEÇA CORAÇÃO e SUPER RINO e… https://t.co/Ns6u9QgqQb",0,16,2971,93
9,Cute07647337,1325213757505564674,False,,0,,,0,0,0,2020-11-07 23:20:38,1325216619837186048,"é tão estranho o conceito de q a Elsa e Mérida só são LGBTQ+ pq ñ pensam em se casar para serem felizes
e se forem,… https://t.co/z3RwQHTBvw",0,0,0,0
10,gabriel_bruno10,2353838988,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-07 23:20:16,1325216528023744512,RT @DisneyPlusBR: A Saga Skywalker está completa. Todos os 9 filmes em um só lugar. Disponíveis em 17 de novembro. Só no #DisneyPlus. https…,80,0,107,426
11,karenmeira_,336291544,False,melekapop,1056288314154762240,False,melekapop,1056288314154762240,0,0,2020-11-07 23:19:21,1325216298075381760,"RT @melekapop: RESUMÃO DA SEMANA!

#DisneyPlus anuncia valor mensal de assinatura e pré venda com desconto, Versão brasileira de #QueerEye…",2,0,1663,905
12,MissAmericaBR,1318322740751962119,False,AAssembleBR,1073607966954307585,False,AAssembleBR,1073607966954307585,0,0,2020-11-07 23:18:21,1325216048656822272,"RT @AAssembleBR: 📸 ""Quem assumirá o escudo do Capitão América?"" 

Vídeo em inglês de Anthony Mackie e Sebastian Stan convidando a América L…",11,0,39,36
13,matildclh,1083096059709194240,False,ManiaVioletta,922034346,False,ManiaVioletta,922034346,0,0,2020-11-07 23:17:21,1325215796856037376,"RT @ManiaVioletta: Jorge Blanco irá voltar atuar em uma série exclusiva para o #DisneyPlus. 

😱🚨💖💋 https://t.co/88Jd0g8YRP",15,0,100,143
14,mpmorales,45995929,True,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-07 23:11:41,1325214369580380161,RT @DisneyPlusBR: A Saga Skywalker está completa. Todos os 9 filmes em um só lugar. Disponíveis em 17 de novembro. Só no #DisneyPlus. https…,80,0,2737,847
15,dcpatrolworld,1221126146219298816,False,AAssembleBR,1073607966954307585,False,AAssembleBR,1073607966954307585,0,0,2020-11-07 23:11:34,1325214338429300736,"RT @AAssembleBR: 📸 ""Quem assumirá o escudo do Capitão América?"" 

Vídeo em inglês de Anthony Mackie e Sebastian Stan convidando a América L…",11,0,582,275
16,Milenamureti13,4252495421,False,oficialtinibra,3621506849,False,oficialtinibra,3621506849,0,0,2020-11-07 23:04:37,1325212590763466752,"RT @oficialtinibra: JÁ SAIU! @TiniStoessel cantando Libre Soy para o especial do #DisneyPlus. 🥺🥶 

https://t.co/OSWINrmFqa",18,0,95,597
17,Dani_Telperion,27919398,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-07 23:03:23,1325212278237483011,"RT @DisneyPlusBR: Tudo sobre #TheMandalorian. Disney Gallery: The Mandalorian, uma série documental de oito episódios, disponível em 17 de…",30,0,127,1759
18,expertohipoteca,192006460,False,,0,,disneyplus,985916593065476096,disneyplus,985916593065476096,2020-11-07 22:56:26,1325210532102639616,@disneyplus se va a poder instalar en @RokuPlayerMX o de que depende,0,0,811,2850
19,aabrmidia,1044357379872182273,False,AAssembleBR,1073607966954307585,False,AAssembleBR,1073607966954307585,0,0,2020-11-07 22:53:19,1325209748367695873,"RT @AAssembleBR: 📸 ""Quem assumirá o escudo do Capitão América?"" 

Vídeo em inglês de Anthony Mackie e Sebastian Stan convidando a América L…",11,0,364,53
20,aabrmidia,1044357379872182273,False,AAssembleBR,1073607966954307585,False,AAssembleBR,1073607966954307585,0,0,2020-11-07 22:53:16,1325209736111910913,RT @AAssembleBR: 📸 Vídeo em inglês da Elizabeth Olsen e Paul Bettany convidando a América Latina para assistir #WandaVision no #DisneyPlus…,4,0,364,53
21,GuStrange2016,1281985516854968321,False,AAssembleBR,1073607966954307585,False,AAssembleBR,1073607966954307585,0,0,2020-11-07 22:52:12,1325209464975347712,"RT @AAssembleBR: 📸 ""Quem assumirá o escudo do Capitão América?"" 

Vídeo em inglês de Anthony Mackie e Sebastian Stan convidando a América L…",11,0,119,656
22,GuStrange2016,1281985516854968321,False,AAssembleBR,1073607966954307585,False,AAssembleBR,1073607966954307585,0,0,2020-11-07 22:52:07,1325209443202560000,RT @AAssembleBR: 📸 Vídeo em inglês da Elizabeth Olsen e Paul Bettany convidando a América Latina para assistir #WandaVision no #DisneyPlus…,4,0,119,656
23,leofrancisco,36383864,False,disneybrasil,41924663,False,disneybrasil,41924663,0,0,2020-11-07 22:51:48,1325209364119097344,"RT @disneybrasil: #DisneyPlus: O Disney+ da Europa tem alguns curtas muitos fofos em seu catálogo, que ainda não chegaram no catálogo dos E…",3,0,699,32
24,leofrancisco,36383864,False,disneybrasil,41924663,False,disneybrasil,41924663,0,0,2020-11-07 22:51:44,1325209347123601408,"RT @disneybrasil: #DisneyPlus: O Disney+ da Europa tem alguns curtas muitos fofos em seu catálogo, que ainda não chegaram no catálogo dos E…",3,0,699,32
25,leofrancisco,36383864,False,disneybrasil,41924663,False,disneybrasil,41924663,0,0,2020-11-07 22:51:40,1325209329876623360,RT @disneybrasil: #DisneyPlus: Os três especiais da série OPERAÇÃO E POUSO estão disponíveis no Disney+ da Europa com áudio em português do…,2,0,699,32
26,TiniPrincxsa,2842192979,False,oficialtinibra,3621506849,False,oficialtinibra,3621506849,0,0,2020-11-07 22:50:05,1325208934462844928,RT @oficialtinibra: 🚨 A Disney finalmente confirmou que o nome da série da Tini para o #DisneyPlus será “Siempre Fui Yo”. https://t.co/d5ga…,16,0,385,513
27,LoveTiniJorgee,855064486188863488,False,ManiaVioletta,922034346,False,ManiaVioletta,922034346,0,0,2020-11-07 22:47:24,1325208256831131654,"RT @ManiaVioletta: Jorge Blanco irá voltar atuar em uma série exclusiva para o #DisneyPlus. 

😱🚨💖💋 https://t.co/88Jd0g8YRP",15,0,592,2056
28,pedru_ae,1211266978607857664,False,,0,,,0,pedru_ae,1211266978607857664,2020-11-07 22:46:24,1325208006913642496,"e outra que a vilã tem um puta desenvolvimento, e que é impossível de ser uma vilã de série INFANTIL pelas coisas p… https://t.co/fa5waiaa8d",0,0,72,132
29,ValeDosNerds,1280535811029680129,False,,0,,,0,0,0,2020-11-07 22:44:04,1325207417613918208,"VALE-TUBE 📺

Atendendo a um pedido de um dos inscritos no canal, tá lá o vídeo com os dispositivos compatíveis com… https://t.co/TYutyKP7xf",0,3,136,88
30,Stelenaforeve,1263640039461998592,False,ManiaVioletta,922034346,False,ManiaVioletta,922034346,0,0,2020-11-07 22:42:44,1325207082740625408,"RT @ManiaVioletta: Jorge Blanco irá voltar atuar em uma série exclusiva para o #DisneyPlus. 

😱🚨💖💋 https://t.co/88Jd0g8YRP",15,0,158,316
31,JornalImperial,1299918081033146368,False,,0,,,0,0,0,2020-11-07 22:39:47,1325206342219534336,"Star Wars Series

Confira a sinopse do terceiro da segunda temporada de #TheMandalorian: ""O Mandaloriano enfrenta a… https://t.co/tk5N244PZu",2,18,584,306
32,DaisyRidleyBR,3874278861,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-07 22:39:36,1325206296484835330,RT @DisneyPlusBR: A Saga Skywalker está completa. Todos os 9 filmes em um só lugar. Disponíveis em 17 de novembro. Só no #DisneyPlus. https…,80,0,4854,328
33,CarolRo2017,911975732737429506,False,fanDisneyPlusBr,1116060331263107072,False,fanDisneyPlusBr,1116060331263107072,0,0,2020-11-07 22:38:37,1325206049222221824,"RT @fanDisneyPlusBr: •SIEMPRE FUI YO (titulo não oficial)

Tini confirma série para o Disney +:

“Tem uma série, mas agora não estamos grav…",59,0,98,408
34,disneybrasil,41924663,False,,0,,,0,0,0,2020-11-07 22:36:41,1325205560648736768,#DisneyPlus: Os três especiais da série OPERAÇÃO E POUSO estão disponíveis no Disney+ da Europa com áudio em portug… https://t.co/Abp1XfK84o,2,20,2971,93
35,Nutellynhaelfa1,1278374361666408452,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-07 22:30:15,1325203940800131072,RT @DisneyPlusBR: A Saga Skywalker está completa. Todos os 9 filmes em um só lugar. Disponíveis em 17 de novembro. Só no #DisneyPlus. https…,80,0,13,141
36,Bryanzara2,1192658042799702017,False,disneybrasil,41924663,False,disneybrasil,41924663,0,0,2020-11-07 22:29:24,1325203726366175232,"RT @disneybrasil: #DisneyPlus: Pra quem ama a Mary Poppins e a atriz Julie Andrews, o Disney+ da Europa já está com seus filmes disponíveis…",4,0,12,196
37,ingrassaada,66067039,False,,0,,disneyplus,985916593065476096,0,0,2020-11-07 22:29:13,1325203679998337025,Queria ter o @disneyplus pra eu poder estar assistindo filminhos que eu gosto e assistindo minha capitã lá,0,1,2024,975
