,user_screen_name,user_id,user_is_verified,retweeted_from_screen_name,retweeted_from_id,retweeted_from_is_verified,screen_name_mention_1,id_mention_1,in_reply_to_screen_name,in_reply_to_user_id,created_at,id,text,retweet_count,favorite_count,user_followers,user_following
0,lucasdellapacce,57744871,False,yurirp4,3389479193,False,yurirp4,3389479193,0,0,2020-11-17 01:09:29,1328505503505379329,RT @yurirp4: Minha lista pra assistir amanhã no disney plus #DisneyPlus https://t.co/hpcVeH0ZFR,293,0,255,1218
1,WillianValota1,3539796557,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-17 01:09:08,1328505415093587969,"RT @DisneyPlusBR: ""Aonde eu vou, ele vai."" Confira o novo trailer de #TheMandalorian. Assista toda a primeira temporada e os novos episódio…",253,0,485,3254
2,SsmmSofia,951128716830216193,False,talitini,1021904652357521408,False,talitini,1021904652357521408,0,0,2020-11-17 01:08:21,1328505218523422720,"RT @talitini: Minha mãe: Violetta é só uma fase 

Eu com 19 anos quando apareceu Violetta no especial Disney plus: 
#DisneyPlus https://t.c…",283,0,198,289
3,poemscatraz,1273525318331047937,False,yurirp4,3389479193,False,yurirp4,3389479193,0,0,2020-11-17 01:07:52,1328505099983982594,RT @yurirp4: Minha lista pra assistir amanhã no disney plus #DisneyPlus https://t.co/hpcVeH0ZFR,293,0,1100,1202
4,CanalGenki,1101140072458567680,False,,0,,,0,CanalGenki,1101140072458567680,2020-11-17 01:07:43,1328505061920698370,"https://t.co/xbsl6Umsf7

Link da live para você salvar já 
#DisneyPlus #MandalorianSeason2 #globo #fox #mickey #Disney",0,0,4,2
5,joananunesmendo,69736661,False,,0,,,0,0,0,2020-11-17 01:07:41,1328505053641138182,falta pouco pro disneyplus aaaaaaaa,0,0,762,543
6,lenacarvalhoo,1022545287108329473,False,yurirp4,3389479193,False,yurirp4,3389479193,0,0,2020-11-17 01:07:39,1328505043994161155,RT @yurirp4: Minha lista pra assistir amanhã no disney plus #DisneyPlus https://t.co/hpcVeH0ZFR,293,0,728,1088
7,isarocha_25,1172199698779856898,False,yurirp4,3389479193,False,yurirp4,3389479193,0,0,2020-11-17 01:07:39,1328505042870136834,RT @yurirp4: Minha lista pra assistir amanhã no disney plus #DisneyPlus https://t.co/hpcVeH0ZFR,293,0,75,88
8,ArthurBicalho1,1216349948,False,,0,,DisneyPlusBR,1011372006753746944,0,0,2020-11-17 01:07:22,1328504972812701698,Tá chegando a hora em @DisneyPlusBR #DisneyPlus,0,0,108,111
9,WillianValota1,3539796557,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-17 01:07:17,1328504949400023041,"RT @DisneyPlusBR: 🚨Agora o #DisneyPlus foi longe demais!🚨 Quem quiser descobrir quais personagens estão escondidos no seu DNA, é só acessar…",103,0,485,3254
10,Avidapodeserbe1,1003466955536371713,False,,0,,,0,0,0,2020-11-17 01:06:47,1328504825357737985,Status: Aguardando meu e-mail chegar... #DisneyPlus,0,0,208,229
