,user_screen_name,user_id,user_is_verified,retweeted_from_screen_name,retweeted_from_id,retweeted_from_is_verified,screen_name_mention_1,id_mention_1,in_reply_to_screen_name,in_reply_to_user_id,created_at,id,text,retweet_count,favorite_count,user_followers,user_following
0,RYU_BELAB_MARO,2460059412,False,,0,,DisneyChannelBR,3093889251,0,0,2020-11-15 00:19:25,1327768131599806467,"Agora no @DisneyChannelBR , pré estréia do @DisneyPlusBR ... sintonizem... #DisneyPlus #DisneyPlusBrasil… https://t.co/rN71cJAHTW",0,0,176,284
1,isabella_cl7,156077478,False,,0,,,0,0,0,2020-11-15 00:08:08,1327765291477180416,"Agora não sei se assisto o especial da DisneyPlus 22h30 ou se vejo o Talk Show do Edu que Claudia vai participar, é… https://t.co/P7WZmT9H79",0,0,3408,206
2,NonyTon,427036048,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 23:59:51,1327763205947584515,"RT @DisneyPlusBR: Conheça os parques da Disney como nunca antes. 🏰✨ A História do Imagineering, disponível em 17 de novembro. Só no #Disney…",44,0,4209,3132
3,fergalixos,3304773803,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 23:55:42,1327762159481348097,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",70,0,1595,749
4,Kaahdrid,246352296,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 23:45:44,1327759651107115008,"RT @DisneyPlusBR: Saiba tudo sobre o #DisneyPlus em uma experiência cheia de surpresas. Muitas Histórias, Um Só Lugar, em 14 de novembro, à…",53,0,179,257
5,Kaahdrid,246352296,False,dicasdisneyplus,1192960088069292033,False,dicasdisneyplus,1192960088069292033,0,0,2020-11-14 23:45:00,1327759467916767233,"RT @dicasdisneyplus: Tá afim de ganhar 1 ano de Disney Plus? Então se liga:
1 - Siga @dicasdisneyplus e @sitearena51
2 - Curta e dê RT ness…",116,0,179,257
6,ValeDosNerds,1280535811029680129,False,,0,,,0,0,0,2020-11-14 23:44:05,1327759236970000387,"VALE-TUBE 📺
Amanhã em #telaquente a #Globo vai exibir 2 primeiros episódios da Primeira temporada de… https://t.co/WaOgaYf2tJ",0,1,138,88
7,globoplay,55569724,True,,0,,jumacalossi,49317509,jumacalossi,49317509,2020-11-14 23:42:43,1327758894681100288,"@jumacalossi Olá @jumacalossi! Exatamente =)
A partir do dia 17, a magia vai se unir ao Plim plim. Corre e faz o pr… https://t.co/khBnOWslAv",0,1,117350,201
8,amoreusous2,993172117272367106,False,MariaPaulat8,881683648386347009,False,MariaPaulat8,881683648386347009,0,0,2020-11-14 23:36:18,1327757278309703681,"RT @MariaPaulat8: Pedro Pascal faz um poste polemico contra gente escrota e tem q apagar🤦

Gina faz uma porr* muito pior todos os dias e el…",1,0,1523,670
9,OGaylherme,1235641785793294336,False,TheOwlHouseBR,1229564459083075587,False,TheOwlHouseBR,1229564459083075587,0,0,2020-11-14 23:35:59,1327757200366985218,"RT @TheOwlHouseBR: Assinei o Disney+ hoje, ansioso pra a partir da próxima terça poder assistir The Owl House dando dinheiro pra Dana sempr…",4,0,123,309
10,Mari20Mariana,407295323,False,irmasurquiza,1210009320307466245,False,irmasurquiza,1210009320307466245,0,0,2020-11-14 23:33:01,1327756453961224196,"RT @irmasurquiza: Divulgação de Bia já está pesadíssima!!!! 
#Disney #DisneyPlus",1,0,348,970
11,NonyTon,427036048,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 23:29:51,1327755656020058114,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",70,0,4209,3132
12,irmasurquiza,1210009320307466245,False,,0,,,0,0,0,2020-11-14 23:29:51,1327755655898390528,"Divulgação de Bia já está pesadíssima!!!! 
#Disney #DisneyPlus",1,0,446,275
13,NonyTon,427036048,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 23:29:47,1327755640534667273,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",27,0,4209,3132
14,NonyTon,427036048,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 23:29:45,1327755630174736384,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",33,0,4209,3132
15,rogerio_foxrc1,1139660411731632130,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 23:29:10,1327755484791758849,"RT @DisneyPlusBR: Dá pra ver de longe o sorriso do Mando. Faltam só 3 dias para o #DisneyPlus.

Aproveite os últimos dias da oferta de pré-…",61,0,822,1405
16,princessleia5h,2893079901,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 23:27:48,1327755138245734402,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",70,0,2377,265
17,TVPagaDepressao,2683738656,False,,0,,,0,0,0,2020-11-14 23:21:23,1327753525514948612,"As 22:30 em todos os canais Disney

#Disney #DisneyPlus "" No dia 14 de novembro, às 22h30, vai ao ar ""Disney+ apres… https://t.co/6le5lKPAMr",0,0,1573,130
18,_brunagabriiele,1188975909585522689,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 23:16:23,1327752265000693761,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",70,0,152,218
19,JCQuesada97,1146163325157421063,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 23:15:36,1327752067805491200,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",27,0,72,741
20,JCQuesada97,1146163325157421063,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 23:15:32,1327752053528080391,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",33,0,72,741
21,616CAPTMARVEL,366871108,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 23:14:53,1327751888570347526,"RT @DisneyPlusBR: Tudooo!!! A trilha sonora de High School Musical: A Série: O Musical está disponível. https://t.co/NWPsjgM8ZB 

Aproveite…",62,0,1619,4800
