,user_screen_name,user_id,user_is_verified,retweeted_from_screen_name,retweeted_from_id,retweeted_from_is_verified,screen_name_mention_1,id_mention_1,in_reply_to_screen_name,in_reply_to_user_id,created_at,id,text,retweet_count,favorite_count,user_followers,user_following
0,guiadisneyplus,1273233886751993856,False,,0,,,0,0,0,2020-11-10 23:59:55,1326313668972335106,Pane Elétrica: Tudo sobre os 14 Curtas confirmados pelo Disney+ no Brasil #DisneyPlus #DisneyPlusBrasil https://t.co/J6WcA6VVnx,0,2,570,22
1,disneyeffect,198689805,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-10 23:57:45,1326313125000454144,"RT @DisneyPlusBR: E aí, com qual personagem você acha que a @SandyLeah combina mais? Descubra o seu DNA Disney+ em https://t.co/BrGGeJDoMY…",207,0,1550,1318
2,gabsguimarxes,3374631256,False,claquethe,4205657871,False,heroisgeek,4205657871,0,0,2020-11-10 23:49:08,1326310959212793859,RT @heroisgeek: Uma semana para a chegada do #DisneyPlus no Brasil! Ansiosos? https://t.co/dIe4ZX9MSw,2,0,209,397
3,jhor_54,80759824,False,,0,,,0,0,0,2020-11-10 23:47:46,1326310613484761088,Disneyplus já tá rolando aqui 😍 https://t.co/vntH3WRRG5,0,0,281,189
4,claquethe,4205657871,False,,0,,,0,0,0,2020-11-10 23:27:39,1326305551744110592,Uma semana para a chegada do #DisneyPlus no Brasil! Ansiosos? https://t.co/dIe4ZX9MSw,2,36,4540,4465
5,Lokinho02527364,1267490619456356353,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-10 23:27:22,1326305480222838784,"RT @DisneyPlusBR: Prepare-se para uma missão de outro mundo! 🏠🚀 Phineas e Ferb, O Filme: #CandaceContraOUniverso, disponível em 17 de novem…",66,0,2,16
6,explicitquinzel,762797803982708736,False,,0,,bazzibatson,2268042631,bazzibatson,2268042631,2020-11-10 23:10:43,1326301287705686016,"@bazzibatson talvez venha aí quando chegar no disneyplus, mas por enquanto imagina ser fã de star wars deus me livre",0,0,517,308
7,SBRclub,135038244,False,,0,,sandyoficial,1189859225511628800,0,0,2020-11-10 23:09:20,1326300941608509447,"E aí, com qual personagem você acha que a @sandyoficial combina mais? Descubra o seu DNA Disney+ em… https://t.co/cKpNphIQrO",0,0,1013,201
8,_GabrielAbdias,107580772,False,,0,,disneyplus,985916593065476096,0,0,2020-11-10 23:06:00,1326300102886088704,"Fui fazer o teste de DNA do @disneyplus e descobri que o teste deles é mais eficaz do que aqueles vocacionais. 

https://t.co/Eev1IYISgY",0,0,103,26
9,Doduti,8496742,False,,0,,,0,0,0,2020-11-10 23:04:13,1326299653395058689,A Amazon e a GloboPlay estão anunciando parceria com a DisneyPlus. Fiz as contas e dá o mesmo valor que assinar os… https://t.co/D0mLKOYw9e,0,1,1355,456
10,ntempause,927860250581131265,False,surtodemagia,1214610305742970880,False,surtodemagia,1214610305742970880,0,0,2020-11-10 22:55:09,1326297371924369412,"RT @surtodemagia: A Disney+ e a Entertainment Weekly divulgaram as imagens da série #WandaVision. Será uma série original da #DisneyPlus, p…",2,0,6734,409
11,EReis35,1212029877215301638,False,dicasdisneyplus,1192960088069292033,False,dicasdisneyplus,1192960088069292033,0,0,2020-11-10 22:51:05,1326296349755777024,"RT @dicasdisneyplus: Tá afim de ganhar 1 ano de Disney Plus? Então se liga:
1 - Siga @dicasdisneyplus e @sitearena51
2 - Curta e dê RT ness…",112,0,2,130
12,AneVanCamp,780917980767059969,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-10 22:50:46,1326296266721128450,"RT @DisneyPlusBR: E aí, com qual personagem você acha que a @SandyLeah combina mais? Descubra o seu DNA Disney+ em https://t.co/BrGGeJDoMY…",207,0,1339,749
13,multuverse,1306418373245493248,False,,0,,wandavision,1162472272214581250,0,0,2020-11-10 22:47:48,1326295521808539648,"Será que é pedir muito um segundo trailer de WandaVision, acompanhado da data??? Seria um sonho. @wandavision… https://t.co/JkuTNmEKOy",0,1,11,69
14,SpiderGustav,80909688,False,,0,,,0,0,0,2020-11-10 22:45:02,1326294827043053568,Se o Bolsonaro melar o DisneyPlus ele vai ter guerra aqui dentro do Brasil mesmo,0,0,212,548
15,gustavocarnei,838577243706245121,False,,0,,,0,gustavocarnei,838577243706245121,2020-11-10 22:42:13,1326294115701698561,"Até dos personagem chatos eu gosto são todos uns amores 😪

Gracinha é a definição dessa série, to esperando a T2 de… https://t.co/mceo3vLWux",0,0,100,416
16,juniorfonseca,913671438,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-10 22:39:15,1326293372336803844,"RT @DisneyPlusBR: E aí, com qual personagem você acha que a @SandyLeah combina mais? Descubra o seu DNA Disney+ em https://t.co/BrGGeJDoMY…",207,0,671,1043
